Country	Country Code	Indicator Name	Indicator Code	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Czech Republic	CZE	GDP per capita (current US$)	NY.GDP.PCAP.CD	3917,15984	2878,719283	3352,034161	3931,744463	4601,952312	5788,150737	6493,863346	5996,83381	6458,904501	6307,698004	6011,61522	6609,20553	8032,896612	9773,117503	11685,88724	13346,17639	15183,63605	18373,649	22698,85396	19741,59763	19808,07109	21717,45794	19729,87051	19916,01939	19744,55861	17715,61685	18463,38658	20379,89604	23046,9	23101,7777	
Germany	DEU	GDP per capita (current US$)	NY.GDP.PCAP.CD	22303,96133	23357,75773	26438,23039	25522,62957	27076,60675	31658,34938	30485,86655	26964,04947	27289,05936	26725,91522	23635,92922	23607,88286	25077,72908	30243,57653	34044,05363	34507,36881	36323,44774	41587,2129	45427,15168	41485,90165	41531,9342	46644,77603	43858,36306	46285,76407	47959,99327	41139,54457	42098,92045	44349,58966	47639	46258,87829	
Djibouti	DJI	GDP per capita (current US$)	NY.GDP.PCAP.CD	766,1409545	762,0113217	777,2623296	753,5201889	790,0322652	789,5517691	767,500315	760,6350212	755,7616936	765,856135	768,1760767	780,9082226	791,3894782	818,8666298	863,2316123	904,7297489	967,6686229	1052,725652	1223,856861	1267,312801	1343,26873	1451,54298	1559,240651	2312,728803	2464,327841	2658,978753	2802,197051	2914,383856	3141,88	3408,846254	
Denmark	DNK	GDP per capita (current US$)	NY.GDP.PCAP.CD	26891,44645	27011,37746	29569,66036	27597,97523	29995,57962	35351,36546	35650,71409	32835,93994	33368,14242	33440,79481	30743,54768	30751,65435	33228,69354	40458,7774	46511,59833	48799,8256	52026,99951	58487,05497	64322,0635	58163,27688	58041,39844	61753,64713	58507,50805	61191,1937	62548,98473	53254,856	54663,99837	57141,05984	61390,6	59822,09296	
Dominican Republic	DOM	GDP per capita (current US$)	NY.GDP.PCAP.CD	991,6144241	1338,896045	1532,903224	1733,400455	1908,484754	2122,797666	2293,755247	2476,11344	2638,34948	2653,344012	2869,105861	2977,148428	3136,155187	2445,435893	2528,577199	3970,32284	4134,683785	4707,792532	5087,985365	5039,402596	5555,389722	5913,432072	6110,369652	6238,133608	6608,828102	6921,517228	7280,880109	7609,338799	8050,63	8282,116222	
Algeria	DZA	GDP per capita (current US$)	NY.GDP.PCAP.CD	2408,688815	1731,611274	1776,036674	1807,328548	1507,865318	1452,269445	1603,937921	1619,806224	1596,003714	1588,347503	1764,97383	1740,642423	1781,837365	2103,413058	2609,945608	3113,101094	3478,654871	3950,519369	4923,629265	3883,261271	4480,799271	5455,853529	5592,257099	5499,581487	5493,02559	4177,892515	3946,443977	4044,2766	4114,71	3948,343279	
Ecuador	ECU	GDP per capita (current US$)	NY.GDP.PCAP.CD	1489,529509	1622,208243	1688,505067	1727,754058	2026,112715	2132,906969	2155,517229	2356,370843	2293,889735	1578,933536	1445,279324	1894,615169	2172,101877	2425,851842	2691,278081	3002,136867	3328,882972	3567,836438	4249,019262	4231,615798	4633,590358	5200,55579	5682,045007	6056,330827	6377,09153	6124,491643	6060,093329	6213,501276	6295,93	6183,823825	
Egypt	EGY	GDP per capita (current US$)	NY.GDP.PCAP.CD	765,6420464	651,0775817	713,4525239	777,8577091	849,4524991	965,11073	1063,333095	1208,719901	1281,39672	1343,551963	1450,476242	1391,707846	1228,937975	1138,664673	1063,003663	1187,51969	1398,190624	1667,843721	2044,527855	2329,23948	2644,817039	2791,954962	3232,648892	3264,378787	3378,831358	3598,970948	3525,020165	2440,510173	2549,13	3020,03135	
Estonia	EST	GDP per capita (current US$)	NY.GDP.PCAP.CD				2681,820122	2814,834734	3130,807094	3376,794373	3678,158264	4087,503306	4144,630817	4075,970639	4509,17846	5344,877798	7206,16648	8912,992195	10406,39688	12631,56777	16741,93912	18227,12008	14794,97079	14790,82122	17621,54744	17534,42154	19174,10073	20367,10266	17522,23019	18237,29584	20388,20955	23258,4	23659,87229	
Finland	FIN	GDP per capita (current US$)	NY.GDP.PCAP.CD	28364,64508	25484,73929	22319,05946	17608,81239	20301,33309	26271,59981	25783,45049	24691,87281	26009,26949	26177,34798	24285,46682	24946,18919	26869,6749	32855,13263	37702,84538	39040,28888	41188,0937	48414,84509	53554,03892	47293,99283	46459,97325	51081,99767	47710,79022	49878,04324	50260,29986	42784,69836	43784,28396	46316,74546	50021,2	48685,85399	
France	FRA	GDP per capita (current US$)	NY.GDP.PCAP.CD	21793,84265	21675,06425	23813,71184	22380,10396	23496,52332	26890,21988	26871,82902	24228,94235	24974,2722	24673,19897	22364,02939	22433,55571	24177,33517	29568,38595	33741,26515	34760,18777	36443,62344	41508,43399	45334,11444	41575,41875	40638,334	43790,73205	40874,70351	42592,93409	43011,2631	36638,18493	37037,37419	38812,16103	41631	40493,92857	
Gabon	GAB	GDP per capita (current US$)	NY.GDP.PCAP.CD	6268,95102	5537,009721	5578,005173	4252,028186	3963,868049	4570,592367	5116,146059	4667,168585	3831,780668	3888,898927	4125,716664	3989,556606	4121,958645	4922,376526	5729,296958	6888,627147	7214,914544	8447,078591	10212,81943	7690,052235	8849,3553	10809,64645	9813,477703	9683,57629	9663,42924	7384,71587	6984,451019	7230,396393	7956,62	7667,366861	
United Kingdom	GBR	GDP per capita (current US$)	NY.GDP.PCAP.CD	19095,467	19900,72665	20487,17079	18389,01957	19709,2381	23123,17779	24332,69777	26734,56261	28214,27436	28669,53969	28149,87001	27744,50646	30056,58622	34419,14791	40290,31397	42030,28661	44599,69757	50566,8266	47286,99849	38713,13743	39435,8399	42038,57225	42462,77157	43444,533	47425,60768	44974,83188	41064,13343	40361,41738	43043	42300,26713	
